TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm, 
1617velv-casd-ec,5828,E.M.P. Chaos,11,4,125,110,6,,0.33,20.0,21.0,
1617velv-casd-ec,7542,OLP MicroChicks,12,4,117,70,6,,0.33,0.2,5.0,
1617velv-casd-ec,8906,ROARbots,13,3,182,65,6,,0.25,20.0,18.2,
1617velv-casd-ec,6003,Techno Eagles,14,2,57,40,6,,0.17,-0.3,1.2,
1617velv-casd-ec,10221,Robotx,15,1,129,60,6,,0.08,-0.1,3.6,
1617velv-casd-lj2,8097,Botcats,1,11,301,135,6,,0.92,81.8,71.7,
1617velv-casd-lj2,12406,Hakuna Automata,2,10,116,75,6,,0.83,23.3,24.2,
1617velv-casd-lj2,10809,Crow Force 5,3,8,230,120,6,,0.67,65.1,57.9,
1617velv-casd-lj2,3650,Torrey Techies,4,8,215,120,6,,0.67,41.1,38.9,
1617velv-casd-lj2,5828,E.M.P. Chaos,5,8,192,135,6,,0.67,32.7,31.9,
1617velv-casd-lj2,9261,Level Up,6,7,156,100,6,,0.58,33.1,31.2,
1617velv-casd-lj2,11107,Wired Up,7,6,117,100,6,,0.50,32.6,29.9,
1617velv-casd-lj2,12405,Game of Drones,8,6,106,110,6,,0.50,7.7,11.2,
1617velv-casd-lj2,8472,ROBOTATOES,9,6,101,95,6,,0.50,18.6,19.4,
1617velv-casd-lj2,7542,OLP MicroChicks,10,5,141,65,6,,0.42,3.9,7.6,
1617velv-casd-lj2,5229,Dragons,11,4,225,110,6,,0.33,17.6,19.6,
1617velv-casd-lj2,9367,Torrey Techies White,12,4,166,65,6,,0.33,11.8,13.7,
1617velv-casd-lj2,6003,Techno Eagles,13,4,149,91,6,,0.33,7.8,11.0,
1617velv-casd-lj2,5540,Skynet,14,3,141,65,6,,0.25,3.9,7.2,
1617velv-casd-lj2,11328,Foothills Engineers,15,0,160,50,6,,0.00,-1.2,2.0,
1617velv-casd-rr2,11278,Virtually Creative,1,10,374,225,6,,0.83,75.4,69.6,
1617velv-casd-rr2,8605,RSF Logitechies,2,10,370,155,6,,0.83,80.1,73.6,
1617velv-casd-rr2,8742,RoboTechs,3,10,281,130,6,,0.83,38.3,39.2,
1617velv-casd-rr2,7696,RSF Singularity,4,8,374,155,6,,0.67,72.4,68.7,
1617velv-casd-rr2,8606,RSF Intergalactic Dragons,5,8,345,225,6,,0.67,70.9,66.0,
1617velv-casd-rr2,11128,Inspiration,6,8,280,155,6,,0.67,66.9,61.0,
1617velv-casd-rr2,9892,EngiNERDs,7,6,257,140,6,,0.50,36.6,36.7,
1617velv-casd-rr2,6016,Ironwolves,8,6,225,120,6,,0.50,12.9,16.9,
1617velv-casd-rr2,3712,Purple F.E.A.R. (Fierce Eagle Advanced Robotics),9,6,207,120,6,,0.50,25.1,26.0,
1617velv-casd-rr2,8380,UC Robotics,10,4,221,135,6,,0.33,9.8,14.2,
1617velv-casd-rr2,11764,UC HIGH CENTURIONS,11,4,220,85,6,,0.33,3.7,8.6,
1617velv-casd-rr2,9049,RoboPuffs,12,4,218,95,6,,0.33,23.0,25.4,
1617velv-casd-rr2,5015,Buffalo Wings,13,4,210,105,6,,0.33,29.0,29.4,
1617velv-casd-rr2,10564,iMiddle Robotics,14,4,174,100,6,,0.33,11.7,15.5,
1617velv-casd-rr2,8039,Return of the Adrenaline Snails,15,4,155,130,6,,0.33,21.4,21.7,
1617velv-casd-rr2,6226,Bambusa,16,0,57,16,6,,0.00,-8.5,-4.4,
1617velv-casd-fp2,9441,Syndicate,1,10,416,150,6,,0.83,79.2,72.4,
1617velv-casd-fp2,9920,Furious Falcons,2,10,285,150,6,,0.83,67.5,62.7,
1617velv-casd-fp2,6137,RoBowties,3,9,395,206,6,,0.75,103.4,92.8,
1617velv-casd-fp2,5135,Team Uncopyrightable,4,9,281,206,6,,0.75,47.1,46.9,
1617velv-casd-fp2,10793,Voltrons,5,8,325,150,6,,0.67,38.9,40.0,
1617velv-casd-fp2,7159,Robo Ravens,6,7,320,115,6,,0.58,25.2,28.9,
1617velv-casd-fp2,8471,The Ducks,7,6,465,175,6,,0.50,70.3,65.7,
1617velv-casd-fp2,2885,Kronos,8,6,246,115,6,,0.50,26.2,26.8,
1617velv-casd-fp2,11285,PATENT PENDING,9,6,220,180,6,,0.50,34.6,36.7,
1617velv-casd-fp2,8000,Team Paradox3,10,5,230,120,6,,0.42,9.8,15.1,
1617velv-casd-fp2,3513,Domo Arigato,11,4,346,140,6,,0.33,28.8,30.6,
1617velv-casd-fp2,10092,Green.Griffins,12,4,330,120,6,,0.33,31.6,31.1,
1617velv-casd-fp2,9022,T-Wrecks,13,4,275,85,6,,0.33,27.2,28.9,
1617velv-casd-fp2,9837,Ravenettes,14,2,200,80,6,,0.17,7.1,10.1,
1617velv-casd-fp2,4278,De.Evolution,15,0,230,70,6,,0.00,-5.5,2.4,
1617velv-casd-set,4216,Rise of Hephaestus,1,10,286,130,6,,0.83,60.4,54.7,
1617velv-casd-set,11212,The Clueless,2,10,272,125,6,,0.83,63.4,56.4,
1617velv-casd-set,3848,Shockwave,3,9,282,90,6,,0.75,43.0,39.3,
1617velv-casd-set,11411,Cherry Pi,4,8,146,120,6,,0.67,22.8,24.4,
1617velv-casd-set,4262,Ridgebots,5,7,281,80,6,,0.58,31.2,31.0,
1617velv-casd-set,9266,Pyrobots,6,7,201,70,6,,0.58,12.9,14.3,
1617velv-casd-set,6074,RAWALA (Robot Assemblers With A Long Acronym),7,7,172,60,6,,0.58,0.9,6.7,
1617velv-casd-set,12073,The Trisectors,8,6,281,80,6,,0.50,24.1,25.4,
1617velv-casd-set,9164,Zorrobots,9,5,320,130,6,,0.42,54.7,50.1,
1617velv-casd-set,10221,Robotx,10,4,235,85,6,,0.33,7.5,11.9,
1617velv-casd-set,11350,Sloth Slowbotics,11,4,218,90,6,,0.33,18.7,20.5,
1617velv-casd-set,11656,Neutron Stars,12,4,201,125,6,,0.33,33.6,31.8,
1617velv-casd-set,8906,ROARbots,13,4,197,50,6,,0.33,6.0,9.6,
1617velv-casd-set,11288,Seminerds,14,3,218,80,6,,0.25,12.4,13.5,
1617velv-casd-set,5131,Pointers,15,2,188,65,6,,0.17,11.2,12.5,
1617velv-casd-gr,11212,The Clueless,1,12,462,165,6,,1.00,79.9,74.5,
1617velv-casd-gr,11128,Inspiration,2,12,440,200,6,,1.00,69.4,68.4,
1617velv-casd-gr,7696,RSF Singularity,3,10,461,200,6,,0.83,102.0,93.1,
1617velv-casd-gr,3848,Shockwave,4,10,396,150,6,,0.83,53.2,51.0,
1617velv-casd-gr,6003,Techno Eagles,5,8,425,155,7,,0.57,21.9,26.3,
1617velv-casd-gr,8472,ROBOTATOES,6,8,287,115,6,,0.67,37.1,35.8,
1617velv-casd-gr,8000,Team Paradox3,7,6,395,95,7,,0.43,17.1,21.2,
1617velv-casd-gr,9892,EngiNERDs,8,6,370,115,6,,0.50,35.2,35.7,
1617velv-casd-gr,10092,Green.Griffins,9,6,305,90,6,,0.50,24.7,27.5,
1617velv-casd-gr,8605,RSF Logitechies,10,4,485,120,6,,0.33,59.3,55.4,
1617velv-casd-gr,8606,RSF Intergalactic Dragons,11,4,450,170,6,,0.33,75.2,69.7,
1617velv-casd-gr,7542,OLP MicroChicks,12,4,362,170,6,,0.33,47.9,46.3,
1617velv-casd-gr,11285,PATENT PENDING,13,4,320,150,6,,0.33,25.5,28.5,
1617velv-casd-gr,8039,Return of the Adrenaline Snails,14,4,296,105,6,,0.33,27.0,27.9,
1617velv-casd-gr,5135,Team Uncopyrightable,15,4,273,81,6,,0.33,5.0,11.5,
1617velv-casd-gr,5828,E.M.P. Chaos,16,2,345,155,6,,0.17,23.1,26.6,
1617velv-casd-gr,11411,Cherry Pi,17,0,400,85,6,,0.00,29.9,31.2,
1617velv-casd-bg,4216,Rise of Hephaestus,1,12,445,200,6,,1.00,133.1,117.8,
1617velv-casd-bg,10809,Crow Force 5,2,9,460,200,6,,0.75,74.5,71.6,
1617velv-casd-bg,9261,Level Up,3,9,455,200,6,,0.75,53.0,54.5,
1617velv-casd-bg,11656,Neutron Stars,4,8,330,170,6,,0.67,36.8,40.1,
1617velv-casd-bg,9049,RoboPuffs,5,8,280,145,6,,0.67,47.7,46.8,
1617velv-casd-bg,9920,Furious Falcons,6,6,545,145,6,,0.50,72.1,66.1,
1617velv-casd-bg,8097,Botcats,7,6,410,145,6,,0.50,53.9,50.6,
1617velv-casd-bg,6226,Bambusa,8,5,470,170,6,,0.42,29.6,35.1,
1617velv-casd-bg,9441,Syndicate,9,5,385,145,6,,0.42,29.0,34.5,
1617velv-casd-bg,2885,Kronos,10,5,335,90,6,,0.42,29.0,30.2,
1617velv-casd-bg,5229,Dragons,11,3,370,155,6,,0.25,18.7,25.5,
1617velv-casd-bg,5015,Buffalo Wings,12,3,315,105,6,,0.25,16.0,19.2,
1617velv-casd-bg,11288,Seminerds,13,3,290,100,6,,0.25,23.4,26.0,
1617velv-casd-bg,12073,The Trisectors,14,2,370,110,6,,0.17,37.4,35.3,
1617velv-casd-pr,8471,The Ducks,1,12,436,235,6,,1.00,127.0,113.2,
1617velv-casd-pr,6137,RoBowties,2,10,400,235,6,,0.83,111.6,100.4,
1617velv-casd-pr,3650,Torrey Techies,3,8,335,135,6,,0.67,53.9,51.8,
1617velv-casd-pr,7159,Robo Ravens,4,8,241,120,6,,0.67,70.4,64.4,
1617velv-casd-pr,6016,Ironwolves,5,6,345,165,6,,0.50,39.2,40.2,
1617velv-casd-pr,5131,Pointers,6,6,307,130,6,,0.50,22.0,24.7,
1617velv-casd-pr,12406,Hakuna Automata,7,6,240,95,6,,0.50,32.6,33.2,
1617velv-casd-pr,10793,Voltrons,8,6,235,120,6,,0.50,20.7,25.6,
1617velv-casd-pr,4262,Ridgebots,9,6,235,96,6,,0.50,43.8,39.2,
1617velv-casd-pr,4278,De.Evolution,10,6,175,150,6,,0.50,3.4,11.6,
1617velv-casd-pr,3513,Domo Arigato,11,4,260,120,6,,0.33,34.4,33.4,
1617velv-casd-pr,12405,Game of Drones,12,4,241,175,6,,0.33,29.9,31.2,
1617velv-casd-pr,9367,Torrey Techies White,13,4,210,60,6,,0.33,8.9,12.1,
1617velv-casd-pr,10564,iMiddle Robotics,14,4,201,120,6,,0.33,6.7,13.5,
1617velv-casd-pr,9266,Pyrobots,15,4,196,135,6,,0.33,12.3,17.0,
1617velv-casd-pr,9837,Ravenettes,16,2,251,190,6,,0.17,22.7,26.9,
1617velv-casd-md,9164,Zorrobots,1,10,305,130,6,,0.83,74.9,67.6,
1617velv-casd-md,11350,Sloth Slowbotics,2,9,250,100,6,,0.75,47.8,42.8,
1617velv-casd-md,8742,RoboTechs,3,8,260,85,6,,0.67,25.8,27.1,
1617velv-casd-md,11107,Wired Up,4,8,235,155,6,,0.67,49.3,47.3,
1617velv-casd-md,11328,Foothills Engineers,5,8,230,215,6,,0.67,47.1,44.6,
