TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,BTot, 
1617velv-casd-ec-Q-19,Q-19,10-25 B,10221,6074,0,11656,6016,0,10,25,
1617velv-casd-ec-Q-20,Q-20,70-65 R,9441,7542,0,8906,5828,0,70,65,
1617velv-casd-ec-Q-21,Q-21,15-57 B,2885,6003,0,11656,8472,0,15,57,
1617velv-casd-ec-Q-22,Q-22,20-40 B,6137,9892,0,11350,6074,0,20,40,
1617velv-casd-ec-Q-23,Q-23,2-60 B,10221,6003,0,9920,7542,0,2,60,
1617velv-casd-lj2-Q-1,Q-1,45-11 R,7542,11107,0,6003,12405,0,45,11,
1617velv-casd-lj2-Q-2,Q-2,50-15 R,3650,9261,0,8472,5540,0,50,15,
1617velv-casd-lj2-Q-3,Q-3,90-135 B,10809,5229,0,8097,5828,0,90,135,
1617velv-casd-lj2-Q-4,Q-4,25-40 B,9367,11328,0,12406,7542,0,25,40,
1617velv-casd-lj2-Q-5,Q-5,36-95 B,6003,5828,0,8472,8097,0,36,95,
1617velv-casd-lj2-Q-6,Q-6,60-25 R,12405,12406,0,5229,9261,0,60,25,
1617velv-casd-lj2-Q-7,Q-7,120-40 R,10809,3650,0,11328,11107,0,120,40,
1617velv-casd-lj2-Q-8,Q-8,11-30 B,5540,6003,0,9367,5828,0,11,30,
1617velv-casd-lj2-Q-9,Q-9,50-0 R,5229,8472,0,11328,7542,0,50,0,
1617velv-casd-lj2-Q-10,Q-10,20-65 B,12405,9261,0,9367,10809,0,20,65,
1617velv-casd-lj2-Q-11,Q-11,60-20 R,8097,5540,0,11107,12406,0,60,20,
1617velv-casd-lj2-Q-12,Q-12,60-50 R,3650,6003,0,11328,10809,0,60,50,
1617velv-casd-lj2-Q-13,Q-13,55-15 R,11107,8472,0,9367,5229,0,55,15,
1617velv-casd-lj2-Q-14,Q-14,65-65 T,7542,8097,0,5540,9261,0,65,65,
1617velv-casd-lj2-Q-15,Q-15,55-15 R,5828,12406,0,12405,3650,0,55,15,
1617velv-casd-lj2-Q-16,Q-16,20-91 B,5229,5540,0,10809,6003,0,20,91,
1617velv-casd-lj2-Q-17,Q-17,30-95 B,9367,7542,0,3650,5828,0,30,95,
1617velv-casd-lj2-Q-18,Q-18,25-110 B,11328,8472,0,12405,8097,0,25,110,
1617velv-casd-lj2-Q-19,Q-19,65-21 R,12406,9261,0,11107,6003,0,65,21,
1617velv-casd-lj2-Q-20,Q-20,65-110 B,9367,3650,0,5229,8097,0,65,110,
1617velv-casd-lj2-Q-21,Q-21,10-100 B,5828,11328,0,11107,9261,0,10,100,
1617velv-casd-lj2-Q-22,Q-22,75-10 R,10809,12406,0,8472,7542,0,75,10,
1617velv-casd-lj2-Q-23,Q-23,35-10 R,12405,5229,0,5540,11328,0,35,10,
1617velv-casd-rr2-Q-1,Q-1,9-115 B,10564,6226,0,7696,11278,0,9,115,
1617velv-casd-rr2-Q-2,Q-2,70-85 B,8606,9049,0,11128,11764,0,70,85,
1617velv-casd-rr2-Q-3,Q-3,50-20 R,6016,8039,0,9892,8380,0,50,20,
1617velv-casd-rr2-Q-4,Q-4,75-80 B,3712,5015,0,8742,8605,0,75,80,
1617velv-casd-rr2-Q-5,Q-5,65-20 R,10564,11278,0,8039,9049,0,65,20,
1617velv-casd-rr2-Q-6,Q-6,95-10 R,5015,8606,0,6226,6016,0,95,10,
1617velv-casd-rr2-Q-7,Q-7,80-10 R,8380,11128,0,3712,11764,0,80,10,
1617velv-casd-rr2-Q-8,Q-8,140-85 R,9892,8605,0,8742,7696,0,140,85,
1617velv-casd-rr2-Q-9,Q-9,0-10 B,6226,5015,0,8380,11764,0,0,10,
1617velv-casd-rr2-Q-10,Q-10,155-80 R,8605,7696,0,9049,11128,0,155,80,
1617velv-casd-rr2-Q-11,Q-11,45-40 R,8742,6016,0,10564,8039,0,45,40,
1617velv-casd-rr2-Q-12,Q-12,75-120 B,11278,9892,0,3712,8606,0,75,120,
1617velv-casd-rr2-Q-13,Q-13,155-10 R,8605,11128,0,8039,6226,0,155,10,
1617velv-casd-rr2-Q-14,Q-14,10-130 B,10564,11764,0,8742,9892,0,10,130,
1617velv-casd-rr2-Q-15,Q-15,135-225 B,8380,7696,0,11278,8606,0,135,225,
1617velv-casd-rr2-Q-16,Q-16,75-20 R,9049,3712,0,6016,5015,0,75,20,
1617velv-casd-rr2-Q-17,Q-17,40-100 B,8380,8606,0,10564,8605,0,40,100,
1617velv-casd-rr2-Q-18,Q-18,130-50 R,8039,7696,0,5015,11764,0,130,50,
1617velv-casd-rr2-Q-19,Q-19,95-55 R,11278,8742,0,11128,6016,0,95,55,
1617velv-casd-rr2-Q-20,Q-20,12-40 B,6226,9049,0,3712,9892,0,12,40,
1617velv-casd-rr2-Q-21,Q-21,80-120 B,8605,11764,0,11278,6016,0,80,120,
1617velv-casd-rr2-Q-22,Q-22,105-55 R,11128,5015,0,10564,9892,0,105,55,
1617velv-casd-rr2-Q-23,Q-23,15-110 B,3712,8039,0,8606,7696,0,15,110,
1617velv-casd-rr2-Q-24,Q-24,95-16 R,9049,8742,0,6226,8380,0,95,16,
1617velv-casd-fp2-Q-1,Q-1,5-75 B,11285,8000,0,9022,10793,0,5,75,
1617velv-casd-fp2-Q-2,Q-2,90-30 R,7159,3513,0,2885,9837,0,90,30,
1617velv-casd-fp2-Q-3,Q-3,70-150 B,6137,4278,0,9441,9920,0,70,150,
1617velv-casd-fp2-Q-4,Q-4,95-65 R,8471,5135,0,10092,11285,0,95,65,
1617velv-casd-fp2-Q-5,Q-5,65-0 R,2885,8000,0,4278,9837,0,65,0,
1617velv-casd-fp2-Q-6,Q-6,150-140 R,6137,10793,0,8471,3513,0,150,140,
1617velv-casd-fp2-Q-7,Q-7,120-75 R,10092,9920,0,9441,9022,0,120,75,
1617velv-casd-fp2-Q-8,Q-8,50-50 T,5135,8000,0,7159,6137,0,50,50,
1617velv-casd-fp2-Q-9,Q-9,50-10 R,10092,9022,0,2885,3513,0,50,10,
1617velv-casd-fp2-Q-10,Q-10,10-58 B,4278,9920,0,5135,11285,0,10,58,
1617velv-casd-fp2-Q-11,Q-11,125-50 R,10793,9441,0,9837,7159,0,125,50,
1617velv-casd-fp2-Q-12,Q-12,175-40 R,8471,6137,0,2885,4278,0,175,40,
1617velv-casd-fp2-Q-13,Q-13,76-45 R,10092,5135,0,8000,10793,0,76,45,
