Date,Event Name,Event Region,Event Type,Division,Match Type,Match Number,Red Team 1,Red Team 2,Red Team 3,Blue Team 1,Blue Team 2,Blue Team 3,Red 1 no show / DQ ,Red 2 no show / DQ ,Red 3 no show / DQ ,Red 1 Yellow Card,Red 2 Yellow Card,Red 3 Yellow Card,Blue 1 no show / DQ ,Blue 2 no show / DQ ,Blue 3 no show / DQ ,Blue 1 Yellow Card,Blue 2 Yellow Card,Blue 3 Yellow Card,Red 1 Surrogate,Red 2 Surrogate,Red 3 Surrogate,Blue 1 Surrogate,Blue 2 Surrogate,Blue 3 Surrogate,Match saved flag,Autonomous Beacon Claimed,Autonomous Cap Ball removed,Autonomous particles scored in Center Vortex,Autonomous Particles scored in Corner Vortex,Autonomous Robot 1 location,Autonomous Robot 2 location,Driver controlled Beacons Claimed,Driver Controlled – Particles Scored in Center Vortex,Driver Controlled – Particles scored in Corner Vortex,End Game – Cap Ball,Minor Penalty Incurred,Major Penalty Incurred,Minor Penalty Awarded,Major Penalty Awarded,Autonomous Beacon Claimed,Autonomous Cap Ball removed,Autonomous particles scored in Center Vortex,Autonomous Particles scored in Corner Vortex,Autonomous Robot 1 location,Autonomous Robot 2 location,Driver controlled Beacons Claimed,Driver Controlled – Particles Scored in Center Vortex,Driver Controlled – Particles scored in Corner Vortex,End Game – Cap Ball,Minor Penalty Incurred,Major Penalty Incurred,Minor Penalty Awarded,Major Penalty Awarded
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,4,2,8995,11701,0,11430,7167,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,0,0,1,3,3,0,0,0,1,0,0,0,0,TRUE,0,0,1,0,1,0,2,0,0,0,1,0
12/10/2016,Phoenix FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,1,10239,12241,0,11854,11849,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0,TRUE,0,0,3,0,0,0,0,0,0,0,0,1
12/10/2016,Phoenix FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,2,9743,10984,0,11578,7716,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,3,0,0,0,0,0,0,0
12/10/2016,Phoenix FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,3,6174,5661,0,11734,7156,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,0,0,3,0,0,0,0,0,TRUE,0,0,1,0,3,0,2,0,0,0,0,0
12/10/2016,Phoenix FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,4,201,8784,0,2844,10111,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,0,1,0,0,0,0,0,0,0,TRUE,3,0,1,0,0,9,0,0,0,0,0,0
12/10/2016,Phoenix FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,5,8499,12241,0,10246,12244,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE,0,0,0,1,1,1,0,0,0,0,0,0
12/10/2016,Phoenix FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,6,11734,2844,0,11578,10239,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,3,0,0,0,0,0,0,0
12/10/2016,Phoenix FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,7,11849,10246,0,9743,201,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,1,0,0,0,0,0,0
12/10/2016,Phoenix FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,8,6174,10111,0,10984,11854,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,1,0,1,0,2,3,0,0,0,0,1,1,0,TRUE,2,0,1,0,0,0,0,0,1,1,0,0
12/10/2016,Phoenix FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,9,7716,7156,0,12244,8784,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,1,4,0,3,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0
12/10/2016,Phoenix FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,10,5661,11578,0,8499,11849,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,3,0,3,2,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0
12/10/2016,Phoenix FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,11,11734,9743,0,8784,12241,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,1,0,0,0,0,0,1,0,TRUE,0,0,0,0,2,0,0,0,0,0,0,0,0,FALSE,0,0,3,0,0,2,1,0,0,0,0,0
