11/14/2016,Texas AML Hearts M1,Texas AL,Meet,1,txal,amlh1,x,txal-amlh1,TX,D
11/12/2016,Texas AML Spades M1,Texas AL,Meet,1,txal,amls1,x,txal-amls1,TX,D
12/03/2016,Texas AML Clubs M2,Texas AL,Meet,1,txal,amlc2,x,txal-amlc2,TX,D
12/03/2016,Texas AML Diamonds M2,Texas AL,Meet,1,txal,amld2,x,txal-amld2,TX,D
12/03/2016,Texas AML Hearts M2,Texas AL,Meet,1,txal,amlh2,x,txal-amlh2,TX,D
12/03/2016,Texas AML Spades M2,Texas AL,Meet,1,txal,amls2,x,txal-amls2,TX,D
01/07/2017,Texas AML Clubs M3,Texas AL,Meet,1,txal,amlc3,x,txal-amlc3,TX,D
01/07/2017,Texas AML Diamonds M3,Texas AL,Meet,1,txal,amld3,x,txal-amld3,TX,D
01/07/2017,Texas AML Hearts M3,Texas AL,Meet,1,txal,amlh3,x,txal-amlh3,TX,D
01/07/2017,Texas AML Spades M3,Texas AL,Meet,1,txal,amls3,x,txal-amls3,TX,D
01/21/2017,Texas AML Spades-Diamonds Championship,Texas AL,Championship Tournament,1,txal,sdcmp,x,txal-sdcmp,TX,D
01/21/2017,Texas AML Clubs-Hearts Championship,Texas AL,Championship Tournament,1,txal,chcmp,x,txal-chcmp,TX,D
12/03/2016,West Virginia Championship,West Virginia,Championship Tournament,1,wv,cmp,x,wv-cmp,WV,R
12/03/2016,Virginia Central D1,Virginia,Qualifying Tournament,1,va,ced1,1,va-ced1,VA,R
12/03/2016,Virginia Central D2,Virginia,Qualifying Tournament,2,va,ced2,2,va-ced2,VA,R
12/17/2016,California LA F2 M1,California LA ,Meet,1,cala,f2m1,x,cala-f2m1,CA,R
01/15/2017,Indiana NorWestIn,Indiana,Qualifying Tournament,1,in,nw,x,in-nw,IN,R
11/12/2016,Illinois Chicago Central M1,Illinois,Meet,1,il,cc1,x,il-cc1,IL,D
11/05/2016,Illinois Chicago North M1,Illinois,Meet,1,il,cn1,x,il-cn1,IL,D
11/19/2016,Illinois Chicago South M1,Illinois,Meet,1,il,cs1,x,il-cs1,IL,D
11/12/2016,Illinois North Central M1,Illinois,Meet,1,il,nc1,x,il-nc1,IL,D
11/12/2016,Illinois North East M1,Illinois,Meet,1,il,ne1,x,il-ne1,IL,D
11/05/2016,Illinois North West M1,Illinois,Meet,1,il,nw1,x,il-nw1,IL,D
11/19/2016,Illinois SouthCentral Central M1,Illinois,Meet,1,il,scc1,x,il-scc1,IL,D
11/12/2016,Illinois SouthCentral South M1,Illinois,Meet,1,il,scs1,x,il-scs1,IL,D
11/12/2016,Illinois West North M1,Illinois,Meet,1,il,wn1,x,il-wn1,IL,D
11/12/2016,Illinois West South M1,Illinois,Meet,1,il,ws1,x,il-ws1,IL,D
11/12/2016,Illinois West West M1,Illinois,Meet,1,il,ww1,x,il-ww1,IL,D
12/10/2016,Illinois Chicago Central M2,Illinois,Meet,1,il,cc2,x,il-cc2,IL,D
12/03/2016,Illinois Chicago North M2,Illinois,Meet,1,il,cn2,x,il-cn2,IL,D
12/17/2016,Illinois Chicago South M2,Illinois,Meet,1,il,cs2,x,il-cs2,IL,D
12/10/2016,Illinois North Central M2,Illinois,Meet,1,il,nc2,x,il-nc2,IL,D
12/03/2016,Illinois North East M2,Illinois,Meet,1,il,ne2,x,il-ne2,IL,D
12/10/2016,Illinois North West M2,Illinois,Meet,1,il,nw2,x,il-nw2,IL,D
12/03/2016,Illinois SouthCentral Central M2,Illinois,Meet,1,il,scc2,x,il-scc2,IL,D
12/17/2016,Illinois SouthCentral South M2,Illinois,Meet,1,il,scs2,x,il-scs2,IL,D
12/03/2016,Illinois West North M2,Illinois,Meet,1,il,wn2,x,il-wn2,IL,D
12/03/2016,Illinois West South M2,Illinois,Meet,1,il,ws2,x,il-ws2,IL,D
12/03/2016,Illinois West West M2,Illinois,Meet,1,il,ww2,x,il-ww2,IL,D
